name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Jordan Francis,"Jordan Francis is a BSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as SQL, Node.js, CSS, JavaScript, HTML. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",BSc,Information Technology,7.52,5.9,30,0
Tim Johnson,"Tim Johnson is a BSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as Python, Java, C++, CSS. Work Highlights: - Configured and maintained Prometheus and Grafana for system monitoring and alerting. - Contributed to a game engine development in C++ focusing on rendering optimizations.",BSc,Information Technology,6.64,4.8,35,0
Melissa Gutierrez,"Melissa Gutierrez is a B.Tech graduate with 1.6 years of experience in software development. They are proficient in technologies such as React, Node.js, CSS, C++, Python. Work Highlights: - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations. - Developed data validation and cleansing scripts in Python for a data migration project.",B.Tech,Information Technology,7.12,1.6,25,0
Christopher Hanson,"Christopher Hanson is a M.Tech graduate with 2.5 years of experience in software development. They are proficient in technologies such as SQL, C++, Python. Work Highlights: - Developed data validation and cleansing scripts in Python for a data migration project. - Contributed to the design and implementation of a new database indexing strategy.",M.Tech,Electronics,6.59,2.5,31,0
Jamie Rodriguez,"Jamie Rodriguez is a MSc graduate with 3.7 years of experience in software development. They are proficient in technologies such as SQL, Django, HTML. Work Highlights: - Integrated third-party authentication providers (Google, Facebook) into a web application. - Developed a browser extension with JavaScript to enhance user productivity.",MSc,Information Technology,8.09,3.7,24,0
Anna Brown,"Anna Brown is a M.Tech graduate with 4.0 years of experience in software development. They are proficient in technologies such as C++, Python, Node.js. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",M.Tech,Information Technology,8.46,4.0,35,0
Robin Bennett,"Robin Bennett is a BSc graduate with 5.5 years of experience in software development. They are proficient in technologies such as CSS, C++, JavaScript, Django, React. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Configured and managed Kubernetes Ingress controllers for external access.",BSc,Electronics,8.63,5.5,23,0
Rebecca Mclaughlin,"Rebecca Mclaughlin is a MSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as Java, Node.js, JavaScript, HTML. Work Highlights: - Contributed to the development of a real-time analytics dashboard with Apache Flink. - Implemented robust caching strategies using Memcached for frequently accessed data.",MSc,Information Technology,6.61,3.9,31,0
Trevor Price,"Trevor Price is a BSc graduate with 1.4 years of experience in software development. They are proficient in technologies such as Python, C++, Django, Node.js, CSS, JavaScript. Work Highlights: - Developed a custom analytics dashboard using Power BI, integrating with various data sources. - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations.",BSc,Computer Science,7.59,1.4,23,0
Brian Dunn,"Brian Dunn is a B.Tech graduate with 0.0 years of experience in software development. They are proficient in technologies such as SQL, HTML, Python. Work Highlights: - Built a scalable data warehousing solution using Amazon Redshift and ETL processes. - Configured and managed Kubernetes Ingress controllers for external access.",B.Tech,Computer Science,8.32,0.0,21,0
Amanda Lowe,"Amanda Lowe is a B.Tech graduate with 4.4 years of experience in software development. They are proficient in technologies such as Java, JavaScript, C++, Node.js, React. Work Highlights: - Built a web crawler using Python and Scrapy to collect publicly available data. - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform.",B.Tech,Information Technology,8.4,4.4,26,1
Cameron Conner,"Cameron Conner is a MSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as Node.js, SQL, Django, React, CSS, C++. Work Highlights: - Developed custom API gateways with Kong for microservices orchestration and security. - Developed a custom analytics dashboard using Power BI, integrating with various data sources.",MSc,Electronics,9.31,4.8,33,0
Hannah Choi,"Hannah Choi is a B.Tech graduate with 2.7 years of experience in software development. They are proficient in technologies such as React, HTML, SQL, Java, Django. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",B.Tech,Electronics,7.33,2.7,29,0
Lauren Adams,"Lauren Adams is a BSc graduate with 5.3 years of experience in software development. They are proficient in technologies such as React, Python, Django, C++, JavaScript, Node.js. Work Highlights: - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability. - Configured Continuous Deployment with GitLab CI for multi-stage deployments.",BSc,Information Technology,9.61,5.3,26,1
Joseph Benson,"Joseph Benson is a B.Tech graduate with 3.9 years of experience in software development. They are proficient in technologies such as React, Node.js, Django. Work Highlights: - Designed and implemented a distributed caching layer using Redis for frequently accessed data. - Improved database schema design and indexing for a MySQL database, boosting query performance.",B.Tech,Information Technology,9.23,3.9,21,0
Kimberly Hamilton,"Kimberly Hamilton is a BSc graduate with 1.0 years of experience in software development. They are proficient in technologies such as Django, React, Java, Python. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Configured and managed Kubernetes Ingress controllers for external access.",BSc,Information Technology,8.17,1.0,31,0
Sheila Valdez,"Sheila Valdez is a M.Tech graduate with 5.3 years of experience in software development. They are proficient in technologies such as C++, React, JavaScript, Java. Work Highlights: - Developed custom middleware for an Express.js application to handle request parsing. - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices.",M.Tech,Information Technology,7.35,5.3,23,0
Sheila Schwartz,"Sheila Schwartz is a BSc graduate with 4.4 years of experience in software development. They are proficient in technologies such as React, CSS, Node.js, SQL. Work Highlights: - Automated testing of API endpoints using Postman and Newman for regression testing. - Configured and maintained Prometheus and Grafana for system monitoring and alerting.",BSc,Computer Science,8.32,4.4,31,0
Mr. David Burke Jr.,"Mr. David Burke Jr. is a MSc graduate with 5.7 years of experience in software development. They are proficient in technologies such as Java, React, C++. Work Highlights: - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability. - Managed secrets and environment variables using AWS Secrets Manager.",MSc,Computer Science,7.64,5.7,28,0
Mark Miller,"Mark Miller is a BSc graduate with 0.6 years of experience in software development. They are proficient in technologies such as React, C++, Django, Python, Java, JavaScript. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Designed and implemented a serverless function in AWS Lambda using Python for image processing.",BSc,Electronics,6.69,0.6,32,0
Samantha Carrillo,"Samantha Carrillo is a B.Tech graduate with 1.2 years of experience in software development. They are proficient in technologies such as JavaScript, React, C++, Node.js, CSS, Java. Work Highlights: - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration. - Built a desktop application with Electron and React, providing cross-platform compatibility.",B.Tech,Information Technology,9.41,1.2,31,0
Amanda Wise,"Amanda Wise is a B.Tech graduate with 1.8 years of experience in software development. They are proficient in technologies such as SQL, Python, React, C++, HTML. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Integrated Salesforce API for CRM data synchronization in an enterprise application.",B.Tech,Computer Science,8.23,1.8,26,0
Nicole Rodgers,"Nicole Rodgers is a B.Tech graduate with 5.8 years of experience in software development. They are proficient in technologies such as CSS, React, Node.js, HTML. Work Highlights: - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery. - Built a Progressive Web App (PWA) with Service Workers for offline capabilities.",B.Tech,Electronics,9.9,5.8,22,0
Donald Owen,"Donald Owen is a MSc graduate with 0.2 years of experience in software development. They are proficient in technologies such as Java, HTML, Node.js, Python, Django. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Performed security audits and penetration testing on web applications to identify vulnerabilities.",MSc,Computer Science,7.13,0.2,31,0
Earl Henry,"Earl Henry is a B.Tech graduate with 0.2 years of experience in software development. They are proficient in technologies such as JavaScript, React, Python. Work Highlights: - Integrated Salesforce API for CRM data synchronization in an enterprise application. - Built a secure file upload service using AWS S3 and pre-signed URLs.",B.Tech,Information Technology,6.68,0.2,33,0
Vanessa Klein,"Vanessa Klein is a BSc graduate with 5.8 years of experience in software development. They are proficient in technologies such as C++, CSS, HTML, JavaScript. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Optimized network configurations and firewall rules for cloud-based applications on GCP.",BSc,Electronics,9.68,5.8,35,0
Manuel Haynes,"Manuel Haynes is a B.Tech graduate with 2.2 years of experience in software development. They are proficient in technologies such as Node.js, Java, Python. Work Highlights: - Built a cross-platform mobile app using React Native, delivering a consistent user experience. - Implemented secure REST endpoints and data encryption for a healthcare application.",B.Tech,Computer Science,9.62,2.2,28,1
Jennifer Sanchez,"Jennifer Sanchez is a B.Tech graduate with 3.5 years of experience in software development. They are proficient in technologies such as SQL, Python, CSS. Work Highlights: - Authored comprehensive unit and integration tests with Jest and React Testing Library for a critical module. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",B.Tech,Information Technology,8.08,3.5,24,1
Jeffrey Watkins,"Jeffrey Watkins is a MSc graduate with 0.2 years of experience in software development. They are proficient in technologies such as C++, Node.js, CSS, React. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Developed a command-line interface (CLI) tool in Python for cloud resource management.",MSc,Electronics,7.62,0.2,35,0
Tina Sparks,"Tina Sparks is a M.Tech graduate with 0.0 years of experience in software development. They are proficient in technologies such as Java, Python, Django. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Implemented distributed tracing with OpenTelemetry for microservices monitoring.",M.Tech,Computer Science,6.57,0.0,26,0
Victoria Campos,"Victoria Campos is a M.Tech graduate with 0.7 years of experience in software development. They are proficient in technologies such as JavaScript, Python, Django, C++. Work Highlights: - Created serverless APIs using Azure Functions and C# for event-driven processing. - Optimized image delivery using WebP format and responsive image techniques.",M.Tech,Electronics,6.09,0.7,30,0
Robert Brady,"Robert Brady is a M.Tech graduate with 6.0 years of experience in software development. They are proficient in technologies such as React, HTML, Java, C++, JavaScript. Work Highlights: - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times. - Created serverless APIs using Azure Functions and C# for event-driven processing.",M.Tech,Information Technology,7.27,6.0,27,0
Jason Martinez,"Jason Martinez is a M.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as HTML, Java, C++, Python, JavaScript. Work Highlights: - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability. - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform.",M.Tech,Information Technology,7.19,2.3,31,1
Christopher Williams,"Christopher Williams is a BSc graduate with 4.7 years of experience in software development. They are proficient in technologies such as HTML, Django, Node.js, React. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Developed algorithms for optimal resource allocation in a cloud computing environment using Python.",BSc,Electronics,6.58,4.7,30,0
Alyssa Lozano,"Alyssa Lozano is a BSc graduate with 2.1 years of experience in software development. They are proficient in technologies such as HTML, Python, C++, Node.js, JavaScript. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Assisted in the transition from SVN to Git, providing training and support to the development team.",BSc,Electronics,9.42,2.1,35,1
Mike Holden,"Mike Holden is a B.Tech graduate with 0.4 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, HTML, Python. Work Highlights: - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service. - Configured and maintained Prometheus and Grafana for system monitoring and alerting.",B.Tech,Computer Science,8.29,0.4,32,1
Mr. Michael Davis DDS,"Mr. Michael Davis DDS is a M.Tech graduate with 3.1 years of experience in software development. They are proficient in technologies such as SQL, Python, Django. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Assisted in the transition from SVN to Git, providing training and support to the development team.",M.Tech,Computer Science,7.62,3.1,24,0
Jackson Anderson,"Jackson Anderson is a B.Tech graduate with 0.3 years of experience in software development. They are proficient in technologies such as Django, Java, React. Work Highlights: - Developed custom shaders and rendering pipelines in Unity for a 3D simulation. - Implemented robust data validation rules and sanitization for user input in a web form.",B.Tech,Computer Science,8.27,0.3,34,0
Karen Owen,"Karen Owen is a BSc graduate with 4.9 years of experience in software development. They are proficient in technologies such as Java, Python, SQL, Django. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Implemented server-side logging with Log4j and centralized logging with Splunk.",BSc,Information Technology,8.66,4.9,22,1
Aaron Martin,"Aaron Martin is a M.Tech graduate with 4.1 years of experience in software development. They are proficient in technologies such as HTML, Java, JavaScript, Python. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services.",M.Tech,Information Technology,9.72,4.1,25,1
Tiffany Levine,"Tiffany Levine is a B.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as SQL, React, Java, HTML, C++, JavaScript. Work Highlights: - Implemented message queues with RabbitMQ for asynchronous task processing. - Developed embedded software in C for an IoT device, managing sensor data acquisition.",B.Tech,Electronics,7.58,2.3,32,1
Noah Le,"Noah Le is a BSc graduate with 2.0 years of experience in software development. They are proficient in technologies such as SQL, Java, HTML, JavaScript. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",BSc,Electronics,6.69,2.0,33,0
Shawn Glover,"Shawn Glover is a B.Tech graduate with 2.9 years of experience in software development. They are proficient in technologies such as Python, JavaScript, Node.js. Work Highlights: - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services. - Developed a custom authentication service using Auth0 for multi-tenant applications.",B.Tech,Computer Science,7.79,2.9,22,0
Donald Hanna,"Donald Hanna is a BSc graduate with 5.5 years of experience in software development. They are proficient in technologies such as CSS, Django, C++. Work Highlights: - Configured Continuous Deployment with GitLab CI for multi-stage deployments. - Developed micro-frontends with Web Components for a modular application architecture.",BSc,Electronics,6.18,5.5,23,0
Yolanda Rodriguez,"Yolanda Rodriguez is a MSc graduate with 0.1 years of experience in software development. They are proficient in technologies such as React, Python, CSS, Java, Django, JavaScript. Work Highlights: - Implemented robust data validation rules and sanitization for user input in a web form. - Configured Nginx as a reverse proxy and load balancer for microservices deployments.",MSc,Electronics,6.53,0.1,31,0
Brian Rivera,"Brian Rivera is a MSc graduate with 1.2 years of experience in software development. They are proficient in technologies such as Java, HTML, Python, Node.js, SQL. Work Highlights: - Implemented distributed tracing with OpenTelemetry for microservices monitoring. - Managed and maintained Helm charts for Kubernetes application deployments.",MSc,Information Technology,8.74,1.2,28,1
Marie Price DDS,"Marie Price DDS is a M.Tech graduate with 0.3 years of experience in software development. They are proficient in technologies such as CSS, JavaScript, HTML. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Managed and maintained Helm charts for Kubernetes application deployments.",M.Tech,Information Technology,7.0,0.3,35,0
Amanda Rodriguez,"Amanda Rodriguez is a B.Tech graduate with 4.7 years of experience in software development. They are proficient in technologies such as HTML, C++, Java, CSS. Work Highlights: - Built a desktop application with Electron and React, providing cross-platform compatibility. - Developed data validation and cleansing scripts in Python for a data migration project.",B.Tech,Electronics,9.2,4.7,23,0
Michele Morton,"Michele Morton is a BSc graduate with 3.4 years of experience in software development. They are proficient in technologies such as JavaScript, Django, Java, HTML, React, SQL. Work Highlights: - Built a real-time dashboard using Vue.js and WebSockets to display sensor data. - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations.",BSc,Electronics,9.84,3.4,30,1
Tracy Deleon,"Tracy Deleon is a B.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as Node.js, SQL, Java, React, CSS. Work Highlights: - Contributed to a large-scale Java Spring Boot application, focusing on API development and integration testing. - Configured cloud firewalls and security groups to protect application endpoints.",B.Tech,Electronics,9.11,3.8,30,1
Peter Anderson,"Peter Anderson is a BSc graduate with 1.3 years of experience in software development. They are proficient in technologies such as SQL, HTML, JavaScript, C++, CSS, React. Work Highlights: - Optimized front-end asset loading using CDN and image optimization techniques. - Optimized database connection pooling and transaction management in a Java application.",BSc,Computer Science,6.69,1.3,32,0
Julie Chavez,"Julie Chavez is a B.Tech graduate with 1.2 years of experience in software development. They are proficient in technologies such as SQL, Python, CSS. Work Highlights: - Developed a custom authentication service using Auth0 for multi-tenant applications. - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services.",B.Tech,Electronics,7.99,1.2,26,0
Thomas Edwards,"Thomas Edwards is a M.Tech graduate with 5.9 years of experience in software development. They are proficient in technologies such as React, Python, Django, CSS. Work Highlights: - Implemented message queues with RabbitMQ for asynchronous task processing. - Managed version control with Git and GitHub, conducting code reviews for junior developers.",M.Tech,Electronics,9.38,5.9,35,0
Tammy Valenzuela,"Tammy Valenzuela is a M.Tech graduate with 4.2 years of experience in software development. They are proficient in technologies such as Node.js, C++, React, HTML, Django. Work Highlights: - Built a secure file upload service using AWS S3 and pre-signed URLs. - Built a cross-platform mobile app using React Native, delivering a consistent user experience.",M.Tech,Information Technology,7.98,4.2,27,0
Jessica Briggs,"Jessica Briggs is a M.Tech graduate with 5.4 years of experience in software development. They are proficient in technologies such as C++, JavaScript, Node.js, React, SQL, HTML. Work Highlights: - Built a data visualization tool using Python and Plotly Dash for internal reporting. - Developed algorithms for optimal resource allocation in a cloud computing environment using Python.",M.Tech,Information Technology,9.33,5.4,24,1
Joseph Freeman,"Joseph Freeman is a BSc graduate with 2.9 years of experience in software development. They are proficient in technologies such as JavaScript, HTML, CSS. Work Highlights: - Created comprehensive API documentation using Swagger/OpenAPI for developer consumption. - Contributed to open-source project by submitting pull requests and reviewing code in Rust.",BSc,Electronics,8.13,2.9,35,0
Charles Cobb,"Charles Cobb is a M.Tech graduate with 4.2 years of experience in software development. They are proficient in technologies such as HTML, SQL, CSS, C++, Django. Work Highlights: - Optimized image delivery using WebP format and responsive image techniques. - Developed command-line tools in Go for internal development workflows and automation.",M.Tech,Computer Science,6.46,4.2,25,0
William Weaver,"William Weaver is a B.Tech graduate with 4.2 years of experience in software development. They are proficient in technologies such as React, Python, Java. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Managed and troubleshooted Kafka clusters, ensuring reliable message delivery for analytics pipelines.",B.Tech,Information Technology,8.03,4.2,22,1
Adam Brown,"Adam Brown is a B.Tech graduate with 2.4 years of experience in software development. They are proficient in technologies such as CSS, JavaScript, HTML. Work Highlights: - Integrated payment gateways (PayPal, Square) into a customer-facing web portal. - Built a Progressive Web App (PWA) with Service Workers for offline capabilities.",B.Tech,Information Technology,9.56,2.4,26,0
Savannah Hernandez,"Savannah Hernandez is a MSc graduate with 3.8 years of experience in software development. They are proficient in technologies such as React, Node.js, C++, Java. Work Highlights: - Developed a chatbot using natural language processing (NLP) with spaCy and Python. - Managed version control with Git and GitHub, conducting code reviews for junior developers.",MSc,Computer Science,8.34,3.8,26,0
Bailey Porter,"Bailey Porter is a M.Tech graduate with 1.2 years of experience in software development. They are proficient in technologies such as SQL, React, JavaScript, C++. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",M.Tech,Information Technology,9.83,1.2,23,0
Arthur Charles,"Arthur Charles is a B.Tech graduate with 3.4 years of experience in software development. They are proficient in technologies such as Node.js, HTML, React, JavaScript, SQL. Work Highlights: - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience. - Managed relational and NoSQL databases (Cassandra, Redis) in production environments.",B.Tech,Computer Science,7.73,3.4,29,0
Vincent Kaufman,"Vincent Kaufman is a MSc graduate with 4.1 years of experience in software development. They are proficient in technologies such as JavaScript, Node.js, Java. Work Highlights: - Implemented serverless functions using Google Cloud Functions for event-driven tasks. - Integrated third-party authentication providers (Google, Facebook) into a web application.",MSc,Electronics,7.46,4.1,29,0
Sydney Powell,"Sydney Powell is a M.Tech graduate with 0.1 years of experience in software development. They are proficient in technologies such as React, JavaScript, Node.js. Work Highlights: - Developed a desktop application using C# and WPF for internal tooling. - Built a real-time dashboard using Vue.js and WebSockets to display sensor data.",M.Tech,Information Technology,9.76,0.1,26,0
Lisa Berry,"Lisa Berry is a BSc graduate with 0.2 years of experience in software development. They are proficient in technologies such as JavaScript, React, CSS, Node.js, Java, Python. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration.",BSc,Information Technology,8.37,0.2,26,1
Evelyn Brown,"Evelyn Brown is a MSc graduate with 1.3 years of experience in software development. They are proficient in technologies such as C++, JavaScript, Java. Work Highlights: - Developed a recommendation engine using collaborative filtering techniques in Python. - Managed version control with Git and GitHub, conducting code reviews for junior developers.",MSc,Information Technology,8.44,1.3,29,0
Sean Jones,"Sean Jones is a B.Tech graduate with 0.3 years of experience in software development. They are proficient in technologies such as C++, Python, JavaScript, React, SQL, Django. Work Highlights: - Developed custom API gateways with Kong for microservices orchestration and security. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",B.Tech,Information Technology,7.94,0.3,34,1
Austin Steele,"Austin Steele is a M.Tech graduate with 4.4 years of experience in software development. They are proficient in technologies such as HTML, Python, SQL, CSS, Django. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Designed and optimized SQL queries for a PostgreSQL database, improving report generation time by 15%.",M.Tech,Information Technology,8.93,4.4,33,1
Anthony Frost,"Anthony Frost is a M.Tech graduate with 1.1 years of experience in software development. They are proficient in technologies such as SQL, Python, Django, Java. Work Highlights: - Managed and maintained Helm charts for Kubernetes application deployments. - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery.",M.Tech,Information Technology,6.16,1.1,31,0
Brandi Foster,"Brandi Foster is a B.Tech graduate with 2.5 years of experience in software development. They are proficient in technologies such as Python, Java, SQL, React, Django, JavaScript. Work Highlights: - Optimized front-end asset loading using CDN and image optimization techniques. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",B.Tech,Electronics,7.26,2.5,21,1
Victoria Hale,"Victoria Hale is a M.Tech graduate with 4.7 years of experience in software development. They are proficient in technologies such as HTML, JavaScript, SQL, Java, Node.js. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Managed package dependencies and build processes with npm and Yarn.",M.Tech,Electronics,6.95,4.7,30,0
